county,WNS_MAP_YR,WNS_STATUS
Breckinridge-Kentucky,2014-15,Absent
Breckinridge-Kentucky,2015-16,Absent
Breckinridge-Kentucky,2016-17,Absent
Breckinridge-Kentucky,2017-18,Absent
Breckinridge-Kentucky,2018-19,Absent
Bruce-Ontario,2006-07,Absent
Bruce-Ontario,2007-08,Absent
Bruce-Ontario,2008-09,Absent
Bruce-Ontario,2009-10,Absent
Bruce-Ontario,2011-12,Absent
Bruce-Ontario,2012-13,Absent
Bruce-Ontario,2013-14,Absent
Bruce-Ontario,2014-15,Absent
Bruce-Ontario,2015-16,Absent
Bruce-Ontario,2016-17,Absent
Bruce-Ontario,2017-18,Absent
Bruce-Ontario,2018-19,Absent
Buchanan-Missouri,2006-07,Absent
Buchanan-Missouri,2007-08,Absent
Buchanan-Missouri,2008-09,Absent
Buchanan-Missouri,2009-10,Absent
Buchanan-Missouri,2010-11,Absent
Buchanan-Missouri,2011-12,Absent
Buchanan-Missouri,2012-13,Absent
Buchanan-Missouri,2013-14,Absent
Buchanan-Missouri,2014-15,Absent
Buchanan-Missouri,2016-17,Absent
Buchanan-Missouri,2017-18,Absent
Buchanan-Missouri,2018-19,Absent
Bucks-Pennsylvania,2006-07,Absent
Bucks-Pennsylvania,2007-08,Absent
Bucks-Pennsylvania,2008-09,Absent
Bucks-Pennsylvania,2010-11,Absent
Bucks-Pennsylvania,2011-12,Absent
Bucks-Pennsylvania,2012-13,Absent
Bucks-Pennsylvania,2013-14,Absent
Bucks-Pennsylvania,2014-15,Absent
Bucks-Pennsylvania,2015-16,Absent
Bucks-Pennsylvania,2016-17,Absent
Bucks-Pennsylvania,2017-18,Absent
Bucks-Pennsylvania,2018-19,Absent
Buncombe-North Carolina,2006-07,Absent
Buncombe-North Carolina,2007-08,Absent
Buncombe-North Carolina,2008-09,Absent
Buncombe-North Carolina,2009-10,Absent
Buncombe-North Carolina,2010-11,Absent
Buncombe-North Carolina,2011-12,Absent
Buncombe-North Carolina,2013-14,Absent
Buncombe-North Carolina,2014-15,Absent
Buncombe-North Carolina,2015-16,Absent
Buncombe-North Carolina,2016-17,Absent
Buncombe-North Carolina,2017-18,Absent
Buncombe-North Carolina,2018-19,Absent
